R J Hill Laboratories Ltd,,,,,,,,,,,
--------------------------------------,,,,,,,,,,,
File Format:,SSFC1.1,,,,,,,,,,
Laboratory Job Number:,3194448,,,,,,,,,,
Report Version:,1,,,,,,,,,,
Interim:,No,,,,,,,,,,
Cancelled:,No,,,,,,,,,,
Amendment:,No,,,,,,,,,,
AmendmentNotes:,,,,,,,,,,,
Date Registered:,8/03/2023 14:48,,,,,,,,,,
File Creation Date:,24/03/2023 10:29,,,,,,,,,,
Primary Contact Name:,D Lohrer,,,,,,,,,,
Primary Contact Address:,"C/- NIWA Corporate, PO Box 11115, Hillcrest, Hamilton 3251",,,,,,,,,,
Submitter Name:,D Lohrer,,,,,,,,,,
Submitter Address:,"C/- NIWA Corporate, PO Box 11115, Hillcrest, Hamilton 3251",,,,,,,,,,
Client Name:,NIWA Corporate,,,,,,,,,,
Client Address:,"PO Box 11115, Hillcrest, Hamilton 3251",,,,,,,,,,
Charging Name:,NIWA Head Office,,,,,,,,,,
Charging Address:,"Private Bag 99940, Newmarket, Auckland 1149",,,,,,,,,,
Quote Number:,121431,,,,,,,,,,
Client Order Number:,U321471,,,,,,,,,,
Client Reference:,Antarctic samples,,,,,,,,,,
Additional Client Reference:,,,,,,,,,,,
Analyst Comments:,,,,,,,,,,,
--------------------------------------,,,,,,,,,,,
Note: The results contained within this file are not to be considered as final.,,,,,,,,,,,
"      Official confirmation of results will be in the form of a final signed report, either in printed or electronic format.",,,,,,,,,,,
--------------------------------------,,,,,,,,,,,
,,,,,,,,,,,
Sample Type:  Shellfish,,,,,,,,,,,
,Sample Name:,ANZ21201 SB2-1 Sphaerotylus,ANZ21201 SB2-2 Sphaerotylus,ANZ21201 SB2-3 Sphaerotylus,ANZ21201 SB2-4 Sphaerotylus,ANZ21201 SB2-5 Sphaerotylus,ANZ21201 SB2-1 Laternula,ANZ21201 SB2-2 Laternula,ANZ21201 SB2-3 Laternula,ANZ21201 SB2-4 Laternula,ANZ21201 SB2-5 Laternula
,Lab Number:,3194448.1,3194448.2,3194448.3,3194448.4,3194448.5,3194448.6,3194448.7,3194448.8,3194448.9,3194448.1
Arsenic,mg/kg as rcvd,1.48,1.27,1.16,1.23,1.25,5.7,4.2,5.4,1.92,4.6
Cadmium,mg/kg as rcvd,7.3,5.9,3.2,3.6,6.2,6.3,7.2,6.1,1.44,6.9
Copper,mg/kg as rcvd,4,3.1,3.7,4.1,2.8,35,4.6,4.5,12.7,7.8
Lead,mg/kg as rcvd,1.28,1.66,13.6,1.48,1.38,0.65,0.36,1.47,0.88,0.37
Mercury,mg/kg as rcvd,0.044,0.039,0.024,0.033,0.034,0.059,0.071,0.064,0.019,0.06
Zinc,mg/kg as rcvd,12.2,9.8,10.2,10.2,9.1,32,22,38,17.4,35
Polycyclic Aromatic Hydrocarbons in Biomatter,,,,,,,,,,,
Acenaphthene,mg/kg as rcvd,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0015,< 0.0014,< 0.0014,< 0.0013,< 0.0014
Acenaphthylene,mg/kg as rcvd,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
Anthracene,mg/kg as rcvd,< 0.0002,< 0.0002,< 0.0002,< 0.0002,< 0.0002,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
Benzo[a]anthracene,mg/kg as rcvd,< 0.0002,< 0.0002,< 0.0002,< 0.0002,0.0004,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
Benzo[a]pyrene (BAP),mg/kg as rcvd,< 0.0002,< 0.0002,< 0.0002,0.0003,0.0004,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
Benzo[b]fluoranthene + Benzo[j]fluoranthene,mg/kg as rcvd,< 0.0002,< 0.0002,< 0.0002,0.0003,0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
"Benzo[g,h,i]perylene",mg/kg as rcvd,< 0.0002,< 0.0002,< 0.0002,0.0003,0.0003,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
Benzo[k]fluoranthene,mg/kg as rcvd,< 0.0002,< 0.0002,< 0.0002,< 0.0002,0.0002,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
Chrysene,mg/kg as rcvd,< 0.0002,< 0.0002,< 0.0002,< 0.0002,0.0004,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
"Dibenzo[a,h]anthracene",mg/kg as rcvd,< 0.0002,< 0.0002,< 0.0002,< 0.0002,< 0.0002,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
Fluoranthene,mg/kg as rcvd,< 0.0002,< 0.0002,< 0.0002,< 0.0002,0.0008,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
Fluorene,mg/kg as rcvd,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.003,< 0.003,< 0.002,< 0.0019,< 0.002
"Indeno(1,2,3-c,d)pyrene",mg/kg as rcvd,< 0.0002,< 0.0002,< 0.0002,0.0002,0.0003,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
Naphthalene,mg/kg as rcvd,< 0.005,< 0.005,< 0.005,< 0.005,< 0.005,< 0.018,< 0.018,< 0.017,< 0.016,< 0.017
Phenanthrene,mg/kg as rcvd,< 0.0010,< 0.0010,< 0.0010,< 0.0010,< 0.0010,< 0.005,< 0.005,< 0.005,< 0.005,< 0.005
Pyrene,mg/kg as rcvd,< 0.0005,< 0.0005,< 0.0005,< 0.0005,0.0008,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
Polychlorinated biphenyls in Biomatter,,,,,,,,,,,
PCB-18,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-28,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-31,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-44,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0013,< 0.0007
PCB-49,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0006,< 0.0007
PCB-52,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0007,0.0044,< 0.0007
PCB-60,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-77,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-81,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-86,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-101,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0034,0.02,0.0016
PCB-105,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0018,0.0119,0.0008
PCB-110,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0028,0.0147,0.0014
PCB-114,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0007,< 0.0007
PCB-118,mg/kg,0.0006,0.0005,0.0006,0.0006,0.0008,< 0.0008,< 0.0007,0.0042,0.028,0.002
PCB-121,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-123,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-126,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-128,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0011,0.0066,< 0.0007
PCB-138,mg/kg,0.0009,0.0011,0.0009,0.001,0.0015,< 0.0008,< 0.0007,0.0049,0.029,0.002
PCB-141,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0037,< 0.0007
PCB-149,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0021,0.011,0.0009
PCB-151,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0024,< 0.0007
PCB-153,mg/kg,0.0006,0.0007,0.0006,0.0007,0.001,< 0.0008,< 0.0007,0.0032,0.0174,0.0013
PCB-156,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0008,0.0041,< 0.0007
PCB-157,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.001,< 0.0007
PCB-159,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-167,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0014,< 0.0007
PCB-169,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-170,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0029,< 0.0007
PCB-180,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0009,0.0045,< 0.0007
PCB-189,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-194,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-206,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-209,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
Total PCB (Sum of 35 congeners),mg/kg,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.03,< 0.03,0.03,0.17,< 0.03
